,game_state,next_state,probability
82,1-0-0-0-1-0,1-0-0-0-0-2,0.030053034767236298
83,1-0-0-1-0-0,1-0-0-0-0-2,0.025792367399741268
84,1-0-1-0-0-0,1-0-0-0-0-2,0.033334177022956796
85,1-0-0-0-0-19,1-0-0-0-0-20,0.03243922510620315
86,1-0-0-0-0-20,1-0-0-0-0-20,0.03243922510620315
87,1-0-0-0-1-18,1-0-0-0-0-20,0.030053034767236298
88,1-0-0-0-1-19,1-0-0-0-0-20,0.030053034767236298
89,1-0-0-0-1-20,1-0-0-0-0-20,0.030053034767236298
90,1-0-0-1-0-18,1-0-0-0-0-20,0.025792367399741268
91,1-0-0-1-0-19,1-0-0-0-0-20,0.025792367399741268
92,1-0-0-1-0-20,1-0-0-0-0-20,0.025792367399741268
93,1-0-0-1-1-17,1-0-0-0-0-20,0.029001883239171376
94,1-0-0-1-1-18,1-0-0-0-0-20,0.029001883239171376
95,1-0-0-1-1-19,1-0-0-0-0-20,0.029001883239171376
96,1-0-0-1-1-20,1-0-0-0-0-20,0.029001883239171376
97,1-0-1-0-0-18,1-0-0-0-0-20,0.033334177022956796
98,1-0-1-0-0-19,1-0-0-0-0-20,0.033334177022956796
99,1-0-1-0-0-20,1-0-0-0-0-20,0.033334177022956796
100,1-0-1-0-1-17,1-0-0-0-0-20,0.03262736119061248
101,1-0-1-0-1-18,1-0-0-0-0-20,0.03262736119061248
102,1-0-1-0-1-19,1-0-0-0-0-20,0.03262736119061248
103,1-0-1-0-1-20,1-0-0-0-0-20,0.03262736119061248
104,1-0-1-1-0-17,1-0-0-0-0-20,0.030489564297393478
105,1-0-1-1-0-18,1-0-0-0-0-20,0.030489564297393478
106,1-0-1-1-0-19,1-0-0-0-0-20,0.030489564297393478
107,1-0-1-1-0-20,1-0-0-0-0-20,0.030489564297393478
108,1-0-1-1-1-16,1-0-0-0-0-20,0.029971791255289138
109,1-0-1-1-1-17,1-0-0-0-0-20,0.029971791255289138
110,1-0-1-1-1-18,1-0-0-0-0-20,0.029971791255289138
111,1-0-1-1-1-19,1-0-0-0-0-20,0.029971791255289138
112,1-0-1-1-1-20,1-0-0-0-0-20,0.029971791255289138
113,1-0-0-0-0-2,1-0-0-0-0-3,0.03243922510620315
114,1-0-0-0-1-1,1-0-0-0-0-3,0.030053034767236298
115,1-0-0-1-0-1,1-0-0-0-0-3,0.025792367399741268
116,1-0-0-1-1-0,1-0-0-0-0-3,0.029001883239171376
117,1-0-1-0-0-1,1-0-0-0-0-3,0.033334177022956796
118,1-0-1-0-1-0,1-0-0-0-0-3,0.03262736119061248
119,1-0-1-1-0-0,1-0-0-0-0-3,0.030489564297393478
120,1-0-0-0-0-3,1-0-0-0-0-4,0.03243922510620315
121,1-0-0-0-1-2,1-0-0-0-0-4,0.030053034767236298
122,1-0-0-1-0-2,1-0-0-0-0-4,0.025792367399741268
123,1-0-0-1-1-1,1-0-0-0-0-4,0.029001883239171376
124,1-0-1-0-0-2,1-0-0-0-0-4,0.033334177022956796
125,1-0-1-0-1-1,1-0-0-0-0-4,0.03262736119061248
126,1-0-1-1-0-1,1-0-0-0-0-4,0.030489564297393478
127,1-0-1-1-1-0,1-0-0-0-0-4,0.029971791255289138
128,1-0-0-0-0-4,1-0-0-0-0-5,0.03243922510620315
129,1-0-0-0-1-3,1-0-0-0-0-5,0.030053034767236298
130,1-0-0-1-0-3,1-0-0-0-0-5,0.025792367399741268
131,1-0-0-1-1-2,1-0-0-0-0-5,0.029001883239171376
132,1-0-1-0-0-3,1-0-0-0-0-5,0.033334177022956796
133,1-0-1-0-1-2,1-0-0-0-0-5,0.03262736119061248
134,1-0-1-1-0-2,1-0-0-0-0-5,0.030489564297393478
135,1-0-1-1-1-1,1-0-0-0-0-5,0.029971791255289138
136,1-0-0-0-0-5,1-0-0-0-0-6,0.03243922510620315
137,1-0-0-0-1-4,1-0-0-0-0-6,0.030053034767236298
